,geometry,x,y,cluster
10254811575,POINT (-13625742.516445296 4549859.318610646),-13625742.516445296,4549859.318610646,76
10258023583,POINT (-13629417.595850449 4547183.710052881),-13629417.595850449,4547183.710052881,234
10261525788,POINT (-13634411.154436504 4541370.293933647),-13634411.154436504,4541370.293933647,233
10261540889,POINT (-13625824.414194675 4547837.738662265),-13625824.414194675,4547837.738662265,125
10261584500,POINT (-13626600.60047618 4548804.632700418),-13626600.60047618,4548804.632700418,260
10264356667,POINT (-13626185.311983826 4550181.410979952),-13626185.311983826,4550181.410979952,114
10270407011,POINT (-13628099.29478073 4548272.555222701),-13628099.29478073,4548272.555222701,85
10271683024,POINT (-13626338.242700277 4546061.676295047),-13626338.242700277,4546061.676295047,60
10276807527,POINT (-13627655.41944314 4547433.655671567),-13627655.41944314,4547433.655671567,230
10277009963,POINT (-13628263.34631431 4546228.738698533),-13628263.34631431,4546228.738698533,259
10279460824,POINT (-13629112.090639915 4550872.242220974),-13629112.090639915,4550872.242220974,173
10288740172,POINT (-13627783.32553806 4549814.678648404),-13627783.32553806,4549814.678648404,135
10303527298,POINT (-13627269.60835195 4548655.966019784),-13627269.60835195,4548655.966019784,186
10303811685,POINT (-13629813.013813695 4551298.042168108),-13629813.013813695,4551298.042168108,12
10303811687,POINT (-13629808.516506268 4551298.774766408),-13629808.516506268,4551298.774766408,12
10303811690,POINT (-13629616.824343119 4551329.811622531),-13629616.824343119,4551329.811622531,12
10303811691,POINT (-13629621.41070614 4551328.430952431),-13629621.41070614,4551328.430952431,12
10309959742,POINT (-13627913.814245168 4547861.145873937),-13627913.814245168,4547861.145873937,295
10312292563,POINT (-13628693.952368597 4549182.104898903),-13628693.952368597,4549182.104898903,83
10313534797,POINT (-13625269.976338828 4549832.145824462),-13625269.976338828,4549832.145824462,128
10313545187,POINT (-13628131.443849668 4548501.17464054),-13628131.443849668,4548501.17464054,224
10315499183,POINT (-13627077.59336228 4549210.107038735),-13627077.59336228,4549210.107038735,262
10315504314,POINT (-13627209.918840986 4549151.835064865),-13627209.918840986,4549151.835064865,262
10538306965,POINT (-13625076.74796671 4550469.027534666),-13625076.74796671,4550469.027534666,263
10538306966,POINT (-13625163.120759616 4550431.80893847),-13625163.120759616,4550431.80893847,263
10538306969,POINT (-13625575.837771732 4550362.795701445),-13625575.837771732,4550362.795701445,167
10538307835,POINT (-13625303.5614292 4550093.508990191),-13625303.5614292,4550093.508990191,16
10538307836,POINT (-13625274.841000576 4550121.767145036),-13625274.841000576,4550121.767145036,16
10538343244,POINT (-13625993.029827379 4550382.841752734),-13625993.029827379,4550382.841752734,75
10538343245,POINT (-13626197.390148578 4550161.280795285),-13626197.390148578,4550161.280795285,114
10542240181,POINT (-13627888.466797115 4550275.695141274),-13627888.466797115,4550275.695141274,270
10544367167,POINT (-13629346.562883373 4540627.624616015),-13629346.562883373,4540627.624616015,226
10553760201,POINT (-13627736.693803368 4548429.6389836185),-13627736.693803368,4548429.6389836185,224
10553806550,POINT (-13627862.429168217 4550091.100148038),-13627862.429168217,4550091.100148038,270
10554070515,POINT (-13627970.141907511 4546379.7787108235),-13627970.141907511,4546379.7787108235,67
10555405433,POINT (-13627381.094821978 4548035.349573497),-13627381.094821978,4548035.349573497,176
10555405434,POINT (-13627279.938800694 4547475.004026369),-13627279.938800694,4547475.004026369,230
10555418965,POINT (-13626329.036578387 4546572.193847809),-13626329.036578387,4546572.193847809,60
10555729738,POINT (-13626046.964120667 4543211.368641914),-13626046.964120667,4543211.368641914,220
10555829842,POINT (-13627495.742765544 4546286.03676343),-13627495.742765544,4546286.03676343,148
10555829843,POINT (-13627880.54084937 4546255.324736139),-13627880.54084937,4546255.324736139,67
10555829844,POINT (-13627887.92133161 4546254.775553532),-13627887.92133161,4546254.775553532,67
10555829845,POINT (-13627895.43539724 4546256.338611797),-13627895.43539724,4546256.338611797,67
10555829846,POINT (-13627905.45415141 4546255.59228665),-13627905.45415141,4546255.59228665,67
10555829847,POINT (-13627913.714057628 4546254.9163695825),-13627913.714057628,4546254.9163695825,67
10555829853,POINT (-13627993.396549137 4546695.708101751),-13627993.396549137,4546695.708101751,95
10558070235,POINT (-13627410.138077127 4544936.4968849765),-13627410.138077127,4544936.4968849765,238
10558492785,POINT (-13624209.246306906 4545665.814998114),-13624209.246306906,4545665.814998114,52
10560538420,POINT (-13626500.668969292 4549536.151582698),-13626500.668969292,4549536.151582698,289
10563423090,POINT (-13627165.012558399 4549158.201723439),-13627165.012558399,4549158.201723439,262
10563423091,POINT (-13627175.086972315 4549192.021141014),-13627175.086972315,4549192.021141014,262
10572259311,POINT (-13627224.668673515 4548173.613247259),-13627224.668673515,4548173.613247259,266
